property_id,title,location,city,price_lakhs,area_sqft,bedrooms,bathrooms,property_type,amenities,furnishing,age_years,description,state,district,locality,area,landmark,pincode,image_urls
PROP-1048,"Spacious 3 BHK Independent Duplex in Tellapur, Hyderabad","Tellapur, Hyderabad",Hyderabad,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Tellapur, Hyderabad. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Telangana,Hyderabad,Tellapur,Tellapur Main Highway,Neopolis Tech Park,502032,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=600&q=80&sig=1048
PROP-1049,"Exclusive Residential Plot in Uppal, Hyderabad","Uppal, Hyderabad",Hyderabad,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Uppal, Hyderabad. Close to RGIC Stadium. Clear titles, 40ft approach road, and high investment appreciation potential.",Telangana,Hyderabad,Uppal,Uppal Depot Road,RGIC Stadium,500039,https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=600&q=80&sig=1049
PROP-1050,"Sky Villa 4 BHK Penthouse in Banjara Hills, Hyderabad","Banjara Hills, Hyderabad",Hyderabad,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Hyderabad skyline in Banjara Hills. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Telangana,Hyderabad,Banjara Hills,Road No 12 Banjara Hills,Taj Krishna Circle,500034,https://images.unsplash.com/photo-1613977257363-707ba9348227?auto=format&fit=crop&w=600&q=80&sig=1050
PROP-1051,"Modern 2 BHK Apartment in Bandra West, Mumbai","Bandra West, Mumbai",Mumbai,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Bandra West, Mumbai. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Maharashtra,Mumbai Suburban,Bandra West,Carter Road Bandra,Bandstand Promenade,400050,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=600&q=80&sig=1051
PROP-1052,"Luxury 4 BHK Triplex Villa in Andheri East, Mumbai","Andheri East, Mumbai",Mumbai,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Andheri East, Mumbai. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Maharashtra,Mumbai Suburban,Andheri East,JB Nagar Andheri,Andheri Metro Station,400069,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=600&q=80&sig=1052
PROP-1053,"Spacious 3 BHK Independent Duplex in Powai, Mumbai","Powai, Mumbai",Mumbai,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Powai, Mumbai. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Maharashtra,Mumbai Suburban,Powai,Hiranandani Gardens Powai,Powai Lake Promenade,400076,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?auto=format&fit=crop&w=600&q=80&sig=1053
PROP-1054,"Exclusive Residential Plot in Thane West, Mumbai","Thane West, Mumbai",Mumbai,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Thane West, Mumbai. Close to Viviana Mall. Clear titles, 40ft approach road, and high investment appreciation potential.",Maharashtra,Mumbai Suburban,Thane West,Ghodbunder Road Thane,Viviana Mall,400607,https://images.unsplash.com/photo-1576941089067-2de3c901e126?auto=format&fit=crop&w=600&q=80&sig=1054
PROP-1055,"Sky Villa 4 BHK Penthouse in Lower Parel, Mumbai","Lower Parel, Mumbai",Mumbai,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Mumbai skyline in Lower Parel. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Maharashtra,Mumbai Suburban,Lower Parel,Senapati Bapat Marg,Phoenix Palladium,400013,https://images.unsplash.com/photo-1598257006458-087169a1f08d?auto=format&fit=crop&w=600&q=80&sig=1055
PROP-1056,"Modern 3 BHK Apartment in Malad West, Mumbai","Malad West, Mumbai",Mumbai,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Malad West, Mumbai. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Maharashtra,Mumbai Suburban,Malad West,Mindspace Malad,Inorbit Mall,400064,https://images.unsplash.com/photo-1599809275671-b59425804642?auto=format&fit=crop&w=600&q=80&sig=1056
PROP-1057,"Luxury 4 BHK Triplex Villa in Chembur, Mumbai","Chembur, Mumbai",Mumbai,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Chembur, Mumbai. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Maharashtra,Mumbai Suburban,Chembur,Chembur East Main Road,Eastern Freeway Junction,400071,https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?auto=format&fit=crop&w=600&q=80&sig=1057
PROP-1058,"Spacious 3 BHK Independent Duplex in Kandivali East, Mumbai","Kandivali East, Mumbai",Mumbai,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Kandivali East, Mumbai. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Maharashtra,Mumbai Suburban,Kandivali East,Thakur Village Kandivali,Thakur College,400101,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=600&q=80&sig=1058
PROP-1059,"Exclusive Residential Plot in Borivali West, Mumbai","Borivali West, Mumbai",Mumbai,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Borivali West, Mumbai. Close to National Park Gate. Clear titles, 40ft approach road, and high investment appreciation potential.",Maharashtra,Mumbai Suburban,Borivali West,Shimpoli Borivali,National Park Gate,400092,https://images.unsplash.com/photo-1600585152220-90363fe7e115?auto=format&fit=crop&w=600&q=80&sig=1059
PROP-1060,"Sky Villa 4 BHK Penthouse in Juhu, Mumbai","Juhu, Mumbai",Mumbai,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Mumbai skyline in Juhu. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Maharashtra,Mumbai Suburban,Juhu,Juhu Tara Road,Juhu Beach Gate,400049,https://images.unsplash.com/photo-1600607687644-c7171b42498b?auto=format&fit=crop&w=600&q=80&sig=1060
PROP-1061,"Modern 2 BHK Apartment in Adyar, Chennai","Adyar, Chennai",Chennai,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Adyar, Chennai. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Tamil Nadu,Chennai,Adyar,Lattice Bridge Road Adyar,Adyar Signal,600020,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=600&q=80&sig=1061
PROP-1062,"Luxury 4 BHK Triplex Villa in Velachery, Chennai","Velachery, Chennai",Chennai,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Velachery, Chennai. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Tamil Nadu,Chennai,Velachery,Velachery Main Road,Phoenix Marketcity,600042,https://images.unsplash.com/photo-1600585154363-67eb9e2e2099?auto=format&fit=crop&w=600&q=80&sig=1062
PROP-1063,"Spacious 3 BHK Independent Duplex in ECR, Chennai","ECR, Chennai",Chennai,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of ECR, Chennai. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Tamil Nadu,Chennai,ECR,East Coast Road Palavakkam,Akkarai Beach,600041,https://images.unsplash.com/photo-1600607687909-ed96943c3228?auto=format&fit=crop&w=600&q=80&sig=1063
PROP-1064,"Exclusive Residential Plot in Anna Nagar, Chennai","Anna Nagar, Chennai",Chennai,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Anna Nagar, Chennai. Close to Tower Park. Clear titles, 40ft approach road, and high investment appreciation potential.",Tamil Nadu,Chennai,Anna Nagar,Anna Nagar West 2nd Avenue,Tower Park,600040,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?auto=format&fit=crop&w=600&q=80&sig=1064
PROP-1065,"Sky Villa 4 BHK Penthouse in OMR, Chennai","OMR, Chennai",Chennai,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Chennai skyline in OMR. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Tamil Nadu,Chennai,OMR,Old Mahabalipuram Road,TIDEL Park,600096,https://images.unsplash.com/photo-1600585152915-d208bec867a1?auto=format&fit=crop&w=600&q=80&sig=1065
PROP-1066,"Modern 3 BHK Apartment in Porur, Chennai","Porur, Chennai",Chennai,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Porur, Chennai. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Tamil Nadu,Chennai,Porur,Porur Junction,DLF IT Park,600116,https://images.unsplash.com/photo-1600607688000-880000000001?auto=format&fit=crop&w=600&q=80&sig=1066
PROP-1067,"Luxury 4 BHK Triplex Villa in Tambaram, Chennai","Tambaram, Chennai",Chennai,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Tambaram, Chennai. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Tamil Nadu,Chennai,Tambaram,Tambaram West Main Road,Tambaram Railway Stn,600045,https://images.unsplash.com/photo-1600607688000-880000000002?auto=format&fit=crop&w=600&q=80&sig=1067
PROP-1068,"Spacious 3 BHK Independent Duplex in Sholinganallur, Chennai","Sholinganallur, Chennai",Chennai,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Sholinganallur, Chennai. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Tamil Nadu,Chennai,Sholinganallur,Sholinganallur Junction,ELCOT SEZ Campus,600119,https://images.unsplash.com/photo-1600607688000-880000000003?auto=format&fit=crop&w=600&q=80&sig=1068
PROP-1069,"Exclusive Residential Plot in Mylapore, Chennai","Mylapore, Chennai",Chennai,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Mylapore, Chennai. Close to Kapaleeshwarar Temple. Clear titles, 40ft approach road, and high investment appreciation potential.",Tamil Nadu,Chennai,Mylapore,Luz Church Road Mylapore,Kapaleeshwarar Temple,600004,https://images.unsplash.com/photo-1600607688000-880000000004?auto=format&fit=crop&w=600&q=80&sig=1069
PROP-1070,"Sky Villa 4 BHK Penthouse in T Nagar, Chennai","T Nagar, Chennai",Chennai,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Chennai skyline in T Nagar. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Tamil Nadu,Chennai,T Nagar,GN Chetty Road T Nagar,Panagal Park,600017,https://images.unsplash.com/photo-1600607688000-880000000005?auto=format&fit=crop&w=600&q=80&sig=1070
PROP-1071,"Modern 2 BHK Apartment in Wakad, Pune","Wakad, Pune",Pune,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Wakad, Pune. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Maharashtra,Pune,Wakad,Datta Mandir Road Wakad,Bhumkar Chowk,411057,https://images.unsplash.com/photo-1600607688000-880000000006?auto=format&fit=crop&w=600&q=80&sig=1071
PROP-1072,"Luxury 4 BHK Triplex Villa in Baner, Pune","Baner, Pune",Pune,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Baner, Pune. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Maharashtra,Pune,Baner,Baner High Street,Balewadi High Street,411045,https://images.unsplash.com/photo-1600607688000-880000000007?auto=format&fit=crop&w=600&q=80&sig=1072
PROP-1073,"Spacious 3 BHK Independent Duplex in Koregaon Park, Pune","Koregaon Park, Pune",Pune,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Koregaon Park, Pune. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Maharashtra,Pune,Koregaon Park,Lane 7 Koregaon Park,German Bakery,411001,https://images.unsplash.com/photo-1600607688000-880000000008?auto=format&fit=crop&w=600&q=80&sig=1073
PROP-1074,"Exclusive Residential Plot in Hadapsar, Pune","Hadapsar, Pune",Pune,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Hadapsar, Pune. Close to Seasons Mall. Clear titles, 40ft approach road, and high investment appreciation potential.",Maharashtra,Pune,Hadapsar,Magarpatta City Main Road,Seasons Mall,411028,https://images.unsplash.com/photo-1600607688000-880000000009?auto=format&fit=crop&w=600&q=80&sig=1074
PROP-1075,"Sky Villa 4 BHK Penthouse in Kothrud, Pune","Kothrud, Pune",Pune,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Pune skyline in Kothrud. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Maharashtra,Pune,Kothrud,Paud Road Kothrud,Karve Statue Circle,411038,https://images.unsplash.com/photo-1600607688000-880000000010?auto=format&fit=crop&w=600&q=80&sig=1075
PROP-1076,"Modern 3 BHK Apartment in Hinjewadi, Pune","Hinjewadi, Pune",Pune,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Hinjewadi, Pune. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Maharashtra,Pune,Hinjewadi,Hinjewadi Phase 1,Wipro Circle,411057,https://images.unsplash.com/photo-1600607688000-880000000011?auto=format&fit=crop&w=600&q=80&sig=1076
PROP-1077,"Luxury 4 BHK Triplex Villa in Pimple Saudagar, Pune","Pimple Saudagar, Pune",Pune,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Pimple Saudagar, Pune. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Maharashtra,Pune,Pimple Saudagar,Linear Park Road,Govind Garden Junction,411027,https://images.unsplash.com/photo-1600607688000-880000000012?auto=format&fit=crop&w=600&q=80&sig=1077
PROP-1078,"Spacious 3 BHK Independent Duplex in Bavdhan, Pune","Bavdhan, Pune",Pune,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Bavdhan, Pune. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Maharashtra,Pune,Bavdhan,Bavdhan Main Road,Chandani Chowk,411021,https://images.unsplash.com/photo-1600607688000-880000000013?auto=format&fit=crop&w=600&q=80&sig=1078
PROP-1079,"Exclusive Residential Plot in Kharadi, Pune","Kharadi, Pune",Pune,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Kharadi, Pune. Close to World Trade Center. Clear titles, 40ft approach road, and high investment appreciation potential.",Maharashtra,Pune,Kharadi,EON Free Zone Road,World Trade Center,411014,https://images.unsplash.com/photo-1600607688000-880000000014?auto=format&fit=crop&w=600&q=80&sig=1079
PROP-1080,"Sky Villa 4 BHK Penthouse in Viman Nagar, Pune","Viman Nagar, Pune",Pune,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Pune skyline in Viman Nagar. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Maharashtra,Pune,Viman Nagar,Viman Nagar Main Road,Phoenix Marketcity Pune,411014,https://images.unsplash.com/photo-1600607688000-880000000015?auto=format&fit=crop&w=600&q=80&sig=1080
PROP-1081,"Modern 2 BHK Apartment in Golf Course Road, Delhi NCR","Golf Course Road, Delhi NCR",Delhi NCR,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Golf Course Road, Delhi NCR. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Delhi NCR,Gurugram,Golf Course Road,Golf Course Road Sector 54,Rapid Metro Stn 54,122002,https://images.unsplash.com/photo-1600607688000-880000000016?auto=format&fit=crop&w=600&q=80&sig=1081
PROP-1082,"Luxury 4 BHK Triplex Villa in South Extension, Delhi NCR","South Extension, Delhi NCR",Delhi NCR,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at South Extension, Delhi NCR. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Delhi NCR,Gurugram,South Extension,South Extension Part 2,AIIMS Junction,110049,https://images.unsplash.com/photo-1600607688000-880000000017?auto=format&fit=crop&w=600&q=80&sig=1082
PROP-1083,"Spacious 3 BHK Independent Duplex in Noida Sector 62, Delhi NCR","Noida Sector 62, Delhi NCR",Delhi NCR,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Noida Sector 62, Delhi NCR. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Delhi NCR,Gurugram,Noida Sector 62,Sector 62 Main Road,Noida Sector 62 Metro,201309,https://images.unsplash.com/photo-1600607688000-880000000018?auto=format&fit=crop&w=600&q=80&sig=1083
PROP-1084,"Exclusive Residential Plot in Dwarka Expressway, Delhi NCR","Dwarka Expressway, Delhi NCR",Delhi NCR,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Dwarka Expressway, Delhi NCR. Close to Expressway Toll Plaza. Clear titles, 40ft approach road, and high investment appreciation potential.",Delhi NCR,Gurugram,Dwarka Expressway,Sector 109 Dwarka Expressway,Expressway Toll Plaza,122017,https://images.unsplash.com/photo-1600607688000-880000000019?auto=format&fit=crop&w=600&q=80&sig=1084
PROP-1085,"Sky Villa 4 BHK Penthouse in Vasant Vihar, Delhi NCR","Vasant Vihar, Delhi NCR",Delhi NCR,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Delhi NCR skyline in Vasant Vihar. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Delhi NCR,Gurugram,Vasant Vihar,Vasant Vihar Block C,Priya Cinema Complex,110057,https://images.unsplash.com/photo-1600607688000-880000000020?auto=format&fit=crop&w=600&q=80&sig=1085
PROP-1086,"Modern 3 BHK Apartment in Noida Sector 137, Delhi NCR","Noida Sector 137, Delhi NCR",Delhi NCR,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Noida Sector 137, Delhi NCR. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Delhi NCR,Gurugram,Noida Sector 137,Noida Expressway Sector 137,Sector 137 Metro Stn,201305,https://images.unsplash.com/photo-1600607688000-880000000021?auto=format&fit=crop&w=600&q=80&sig=1086
PROP-1087,"Luxury 4 BHK Triplex Villa in Greater Noida West, Delhi NCR","Greater Noida West, Delhi NCR",Delhi NCR,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Greater Noida West, Delhi NCR. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Delhi NCR,Gurugram,Greater Noida West,Noida Extension Main Road,Gaur City Mall,201318,https://images.unsplash.com/photo-1600607688000-880000000022?auto=format&fit=crop&w=600&q=80&sig=1087
PROP-1088,"Spacious 3 BHK Independent Duplex in Sohna Road, Delhi NCR","Sohna Road, Delhi NCR",Delhi NCR,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Sohna Road, Delhi NCR. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Delhi NCR,Gurugram,Sohna Road,Sohna Road Sector 48,Subhash Chowk,122018,https://images.unsplash.com/photo-1600607688000-880000000023?auto=format&fit=crop&w=600&q=80&sig=1088
PROP-1089,"Exclusive Residential Plot in Indirapuram, Delhi NCR","Indirapuram, Delhi NCR",Delhi NCR,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Indirapuram, Delhi NCR. Close to Habitat Centre. Clear titles, 40ft approach road, and high investment appreciation potential.",Delhi NCR,Gurugram,Indirapuram,Ahinsa Khand 2 Indirapuram,Habitat Centre,201014,https://images.unsplash.com/photo-1600607688000-880000000024?auto=format&fit=crop&w=600&q=80&sig=1089
PROP-1090,"Sky Villa 4 BHK Penthouse in Gurgaon Sector 54, Delhi NCR","Gurgaon Sector 54, Delhi NCR",Delhi NCR,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Delhi NCR skyline in Gurgaon Sector 54. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Delhi NCR,Gurugram,Gurgaon Sector 54,Sector 54 Sun City Road,Suncity Shopping Complex,122011,https://images.unsplash.com/photo-1600607688000-880000000025?auto=format&fit=crop&w=600&q=80&sig=1090
PROP-1091,Spacious 3 BHK Apartment in Tirupati,"MR Palli, Tirupati",Tirupati,55.0,1450,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym",Semi-Furnished,0,"Beautiful 3 BHK home in MR Palli, Tirupati near SV University. Excellent connectivity and modern modular kitchen.",Andhra Pradesh,Tirupati,MR Palli,MR Palli Circle,SV University Gate,517502,https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=600&q=80&sig=PROP-1091
PROP-1092,Spacious 3 BHK Apartment in Tirupati,"MR Palli, Tirupati",Tirupati,55.0,1450,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym",Semi-Furnished,0,"Beautiful 3 BHK home in MR Palli, Tirupati near SV University. Excellent connectivity and modern modular kitchen.",Andhra Pradesh,Tirupati,MR Palli,MR Palli Circle,SV University Gate,517502,https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=600&q=80&sig=PROP-1092
PROP-1093,Spacious 3 BHK Apartment,"MR Palli, Tirupati",Tirupati,55.0,1450,3,3,Apartment,"Parking, Security, Power Backup, Gym",Semi-Furnished,0,Modern property with excellent connectivity and convenient access to nearby facilities.,Andhra Pradesh,Tirupati,MR Palli,MR Palli Circle,SV University Gate,517502,
PROP-1094,Spacious 3 BHK Apartment,"MR Palli, Tirupati",Tirupati,55.0,1450,3,3,Apartment,"Parking, Security, Power Backup, Gym",Semi-Furnished,0,Modern property with excellent connectivity and convenient access to nearby facilities.,Andhra Pradesh,Tirupati,MR Palli,MR Palli Circle,SV University Gate,517502,
